Board Number,Board Name,Elementary Male Enrolment,Elementary Female Enrolment,Secondary Male Enrolment,Secondary Female Enrolment,Total Male Enrolment,Total Female Enrolment
B28061,Lakehead DSB,"3,202","2,967","1,931","1,690","5,133","4,657"
B66036,Lambton Kent DSB,"7,516","7,331","4,503","4,093","12,019","11,424"
B66206,Limestone DSB,"6,854","6,388","4,077","3,801","10,931","10,189"
B67032,London District Catholic School Board,"6,192","5,921","3,981","3,642","10,173","9,563"
B15199,Moose Factory Island DSAB,131,132,,,131,132
B15202,Moosonee DSAB,129,138,,,129,138
B28037,Near North DSB,"3,515","3,172","2,034","1,887","5,549","5,059"
B67156,Niagara CDSB,"7,744","7,420","4,083","3,892","11,827","11,312"
B29017,Nipissing-Parry Sound CDSB,"1,046","1,038",440,463,"1,486","1,501"
B29009,Northeastern CDSB,981,901,232,229,"1,213","1,130"
B29041,Northwest CDSB,652,662,,,652,662
B67180,Ottawa CDSB,"12,559","11,810","7,665","7,034","20,224","18,844"
B66184,Ottawa-Carleton DSB,"24,599","23,541","12,777","11,967","37,376","35,508"
B66125,Peel DSB,"56,661","52,586","24,194","20,970","80,855","73,556"
B79910,Penetanguishene PSSB,120,112,,,120,112
B67067,Peterborough Victoria Northumberland and Clarington CDSB,"4,749","4,653","2,520","2,427","7,269","7,080"
B28029,Rainbow DSB,"4,522","4,052","2,874","2,575","7,396","6,627"
B28053,Rainy River DSB,873,899,624,586,"1,497","1,485"
B67199,Renfrew County CDSB,"1,832","1,663",532,579,"2,364","2,242"
B66214,Renfrew County DSB,"3,083","2,831","2,014","1,853","5,097","4,684"
B66109,Simcoe County DSB,"17,731","16,970","9,190","8,206","26,921","25,176"
B67091,Simcoe Muskoka CDSB,"6,732","6,427","3,921","3,806","10,653","10,233"
B67040,St Clair CDSB,"3,264","3,108","1,416","1,400","4,680","4,508"
B29033,Sudbury CDSB,"2,116","2,056","1,051","1,119","3,167","3,175"
B29076,Superior North CDSB,428,331,,,428,331
B28070,Superior-Greenstone DSB,449,389,469,413,918,802
B66044,Thames Valley DSB,"25,856","24,623","13,315","12,116","39,171","36,739"
B29068,Thunder Bay CDSB,"2,833","2,830","1,259","1,233","4,092","4,063"
B67059,Toronto CDSB,"30,942","29,740","15,347","15,585","46,289","45,325"
B66052,Toronto DSB,"88,305","84,240","44,052","39,482","132,357","123,722"
B66087,Trillium Lakelands DSB,"5,680","5,310","3,505","3,302","9,185","8,612"
B66192,Upper Canada DSB,"9,250","8,746","5,784","5,516","15,034","14,262"
B66117,Upper Grand DSB,"11,262","10,725","6,297","5,837","17,559","16,562"
B67148,Waterloo CDSB,"7,493","7,321","3,654","3,330","11,147","10,651"
B66176,Waterloo Region DSB,"21,429","20,349","11,142","10,197","32,571","30,546"
B67130,Wellington CDSB,"2,852","2,753","1,347","1,258","4,199","4,011"
B67024,Windsor-Essex CDSB,"7,454","6,815","4,389","4,042","11,843","10,857"
B67075,York CDSB,"19,117","18,257","9,276","9,164","28,393","27,421"
B66095,York Region DSB,"41,744","38,862","21,083","18,595","62,827","57,457"
