UNIVERSITY,PROGRAMS SPEMAJ,HEAD COUNT
Lakehead,4.46.00 - Psychology,386
Lakehead,1.41.00 - Recreation,204
Lakehead,"4.40.10 - Resource management, environmental studies",157
Lakehead,4.49.00 - Social work and social welfare,411
Lakehead,4.52.00 - Sociology,109
Lakehead,Total,"7,100"
Laurentian,4.03.00 - Anthropology,24
Laurentian,7.27.02 - Aural and oral rehabilitation,53
Laurentian,5.06.00 - Biochemistry,64
Laurentian,4.08.00 - Canadian studies,15
Laurentian,6.06.00 - Chemical engineering,89
Laurentian,8.15.00 - Chemistry,43
Laurentian,"4.12.00 - Commerce, management, business administration, administrative studies/sciences",931
Laurentian,8.06.00 - Computer science,88
Laurentian,4.27.00 - Economics,88
Laurentian,1.18.00 - Elementary/secondary teacher training,252
Laurentian,6.16.00 - Engineering general,57
Laurentian,3.05.00 - English language and/or literature,124
Laurentian,2.03.00 - Fine art,13
Laurentian,3.06.00 - French language and/or literature,38
Laurentian,0.00.02 - General Arts,"1,008"
Laurentian,0.00.08 - General Science,471
Laurentian,4.30.00 - Geography,72
Laurentian,8.18.00 - Geology and related,87
Laurentian,3.09.00 - History,147
Laurentian,0.00.01 - Interdisciplinary Studies,19
Laurentian,"1.40.00 - Kinesiology, human kinetics and kinanthropology",17
Laurentian,4.33.00 - Law and jurisprudence,149
Laurentian,8.12.00 - Mathematics,39
Laurentian,6.12.00 - Mechanical engineering,158
Laurentian,7.36.00 - Medical Technology,61
Laurentian,6.11.00 - Mining engineering,121
Laurentian,2.05.00 - Music,48
Laurentian,7.15.00 - Nursing,393
Laurentian,5.09.99 - Other biology,264
Laurentian,6.14.00 - Other engineering,37
Laurentian,7.99.00 - Other health professions and occupations,105
Laurentian,3.11.99 - Other languages and literatures,29
Laurentian,3.17.00 - Other mass communication studies,112
Laurentian,2.08.00 - Other performing arts,11
Laurentian,8.30.99 - Other physics,32
Laurentian,4.57.00 - Other social services,52
Laurentian,3.21.00 - Philosophy,10
Laurentian,1.39.00 - Physical education,475
Laurentian,4.43.00 - Political science,24
Laurentian,4.46.00 - Psychology,349
Laurentian,3.24.00 - Religious studies,22
Laurentian,4.49.00 - Social work and social welfare,435
Laurentian,4.52.00 - Sociology,108
Laurentian,Total,"6,753"
McMaster,4.03.00 - Anthropology,185
McMaster,5.06.00 - Biochemistry,578
McMaster,6.06.00 - Chemical engineering,454
McMaster,8.15.00 - Chemistry,249
McMaster,6.07.00 - Civil engineering,463
McMaster,"3.03.00 - Classics, classical and dead languages",127
McMaster,"4.12.00 - Commerce, management, business administration, administrative studies/sciences","2,669"
McMaster,8.06.00 - Computer science,250
McMaster,"6.08.00 - Design, systems engineering",26
McMaster,4.27.00 - Economics,439
McMaster,6.09.00 - Electrical engineering,676
McMaster,6.16.00 - Engineering general,"1,126"
McMaster,6.15.00 - Engineering science,209
McMaster,3.05.00 - English language and/or literature,435
McMaster,7.24.00 - Epidemiology and public health,182
McMaster,2.03.00 - Fine art,100
McMaster,3.06.00 - French language and/or literature,74
McMaster,0.00.02 - General Arts,"1,782"
McMaster,0.00.00 - General Arts and Science,173
McMaster,0.00.08 - General Science,"1,209"
McMaster,4.30.00 - Geography,244
McMaster,8.18.00 - Geology and related,57
McMaster,3.09.00 - History,306
McMaster,7.10.06 - immunology,64
McMaster,0.00.01 - Interdisciplinary Studies,23
McMaster,"1.40.00 - Kinesiology, human kinetics and kinanthropology",852
McMaster,3.14.00 - Linguistics,129
McMaster,8.12.00 - Mathematics,418
McMaster,6.12.00 - Mechanical engineering,514
McMaster,7.08.00 - Medical specialties,846
McMaster,7.36.00 - Medical Technology,471
McMaster,7.05.00 - Medicine (professional programme),620
McMaster,"8.21.00 - Metallurgy, materials science",20
McMaster,2.05.00 - Music,130
McMaster,7.15.00 - Nursing,"1,696"
McMaster,7.27.04 - Occupational therapy,129
McMaster,4.09.99 - Other area studies,79
McMaster,7.06.99 - other basic sciences,999
McMaster,5.09.99 - Other biology,"1,776"
McMaster,6.14.00 - Other engineering,"1,183"
McMaster,7.99.00 - Other health professions and occupations,75
McMaster,3.17.00 - Other mass communication studies,403
McMaster,2.08.00 - Other performing arts,54
McMaster,8.30.99 - Other physics,212
McMaster,7.27.99 - Other rehabilitation,30
McMaster,4.57.00 - Other social services,190
McMaster,7.10.14 - pathology,23
McMaster,3.21.00 - Philosophy,186
McMaster,7.27.06 - Physical therapy,134
McMaster,4.43.00 - Political science,394
McMaster,4.46.00 - Psychology,756
McMaster,3.24.00 - Religious studies,123
McMaster,"4.40.10 - Resource management, environmental studies",209
McMaster,4.49.00 - Social work and social welfare,171
McMaster,4.52.00 - Sociology,614
McMaster,5.03.26 - Soil science,23
McMaster,7.12.00 - Surgical specialties,164
McMaster,"3.25.00 - Theological studies (professional programme, preparation for the ministry)",54
McMaster,Total,"25,793"
Nipissing,"3.03.00 - Classics, classical and dead languages",16
Nipissing,"4.12.00 - Commerce, management, business administration, administrative studies/sciences",307
Nipissing,8.06.00 - Computer science,24
Nipissing,4.13.00 - Criminology,216
Nipissing,1.18.00 - Elementary/secondary teacher training,738
Nipissing,3.05.00 - English language and/or literature,255
Nipissing,2.03.00 - Fine art,60
Nipissing,0.00.02 - General Arts,70
Nipissing,4.30.00 - Geography,220
Nipissing,3.09.00 - History,209
Nipissing,8.12.00 - Mathematics,77
Nipissing,7.15.00 - Nursing,392
Nipissing,5.09.99 - Other biology,112
Nipissing,1.38.99 - Other non-teaching fields,52
Nipissing,3.21.00 - Philosophy,24
Nipissing,1.39.00 - Physical education,324
Nipissing,4.43.00 - Political science,25
Nipissing,4.46.00 - Psychology,401
Nipissing,3.24.00 - Religious studies,17
Nipissing,"4.40.10 - Resource management, environmental studies",31
Nipissing,4.49.00 - Social work and social welfare,28
Nipissing,4.52.00 - Sociology,145
Nipissing,Total,"3,766"
NOSM,7.05.00 - Medicine (professional programme),249
NOSM,9.99.98 - Not applicable/none,138
NOSM,Total,387
OCAD,2.14.99 - Other applied arts,"3,571"
OCAD,Total,"3,571"
Ottawa,4.03.00 - Anthropology,149
Ottawa,7.27.02 - Aural and oral rehabilitation,71
Ottawa,7.06.06 - biochemistry,103
Ottawa,5.06.00 - Biochemistry,978
Ottawa,4.08.00 - Canadian studies,38
Ottawa,6.06.00 - Chemical engineering,561
Ottawa,8.15.00 - Chemistry,243
Ottawa,6.07.00 - Civil engineering,647
Ottawa,"3.03.00 - Classics, classical and dead languages",124
Ottawa,"4.12.00 - Commerce, management, business administration, administrative studies/sciences","3,374"
Ottawa,8.06.00 - Computer science,351
Ottawa,4.13.00 - Criminology,"1,491"
Ottawa,4.27.00 - Economics,669
Ottawa,6.09.00 - Electrical engineering,585
Ottawa,1.18.00 - Elementary/secondary teacher training,"1,212"
Ottawa,3.05.00 - English language and/or literature,503
Ottawa,7.24.00 - Epidemiology and public health,"1,113"
Ottawa,2.03.00 - Fine art,205
Ottawa,5.18.08 - Food science and nutrition,161
Ottawa,3.06.00 - French language and/or literature,333
Ottawa,0.00.02 - General Arts,"1,519"
Ottawa,0.00.08 - General Science,170
Ottawa,4.30.00 - Geography,220
Ottawa,8.18.00 - Geology and related,249
Ottawa,4.14.02 - Health administration,51
Ottawa,"1.23.00 - Higher education, post-secondary teacher training",279
Ottawa,3.09.00 - History,724
Ottawa,3.10.00 - Journalism,64
Ottawa,"1.40.00 - Kinesiology, human kinetics and kinanthropology","1,230"
Ottawa,4.33.00 - Law and jurisprudence,"1,941"
Ottawa,3.12.00 - Library science,26
Ottawa,3.14.00 - Linguistics,142
Ottawa,8.12.00 - Mathematics,270
Ottawa,6.12.00 - Mechanical engineering,553
Ottawa,4.09.10 - Mediaeval,24
Ottawa,7.08.00 - Medical specialties,917
Ottawa,7.36.00 - Medical Technology,12
Ottawa,7.05.00 - Medicine (professional programme),638
Ottawa,7.10.10 - microbiology,49
Ottawa,2.05.00 - Music,303
Ottawa,9.99.98 - Not applicable/none,503
Ottawa,7.15.00 - Nursing,"1,377"
Ottawa,7.27.04 - Occupational therapy,78
Ottawa,4.09.99 - Other area studies,806
Ottawa,7.06.99 - other basic sciences,184
Ottawa,5.09.99 - Other biology,"1,657"
Ottawa,6.14.00 - Other engineering,576
Ottawa,7.99.00 - Other health professions and occupations,18
Ottawa,3.11.99 - Other languages and literatures,258
Ottawa,3.17.00 - Other mass communication studies,"1,116"
Ottawa,1.38.99 - Other non-teaching fields,88
Ottawa,2.08.00 - Other performing arts,165
Ottawa,8.30.99 - Other physics,178
Ottawa,7.27.99 - Other rehabilitation,13
Ottawa,3.21.00 - Philosophy,363
Ottawa,7.27.06 - Physical therapy,69
Ottawa,4.43.00 - Political science,"1,542"
Ottawa,4.46.00 - Psychology,"1,901"
Ottawa,4.14.01 - Public administration,539
Ottawa,3.24.00 - Religious studies,65
Ottawa,"4.40.10 - Resource management, environmental studies",106
Ottawa,4.49.00 - Social work and social welfare,203
Ottawa,4.52.00 - Sociology,553
Ottawa,"3.25.00 - Theological studies (professional programme, preparation for the ministry)",247
Ottawa,3.27.00 - Translation and interpretation,228
Ottawa,Total,"35,132"
"Queen""s",7.06.04 - anatomy,46
"Queen""s",8.30.01 - Astronomy,16
"Queen""s",5.06.00 - Biochemistry,177
"Queen""s",6.06.00 - Chemical engineering,403
"Queen""s",8.15.00 - Chemistry,203
"Queen""s",6.07.00 - Civil engineering,414
"Queen""s","3.03.00 - Classics, classical and dead languages",138
"Queen""s","4.12.00 - Commerce, management, business administration, administrative studies/sciences","2,749"
"Queen""s",8.06.00 - Computer science,303
"Queen""s",4.27.00 - Economics,565
"Queen""s",6.09.00 - Electrical engineering,282
"Queen""s",1.18.00 - Elementary/secondary teacher training,971
"Queen""s",6.16.00 - Engineering general,644
"Queen""s",6.15.00 - Engineering science,332
"Queen""s",3.05.00 - English language and/or literature,587
"Queen""s",7.24.00 - Epidemiology and public health,93
"Queen""s",2.03.00 - Fine art,297
"Queen""s",3.06.00 - French language and/or literature,66
"Queen""s",0.00.00 - General Arts and Science,"2,639"
"Queen""s",4.30.00 - Geography,272
"Queen""s",8.18.00 - Geology and related,81
"Queen""s",3.09.00 - History,561
"Queen""s","1.40.00 - Kinesiology, human kinetics and kinanthropology",373
"Queen""s",4.33.00 - Law and jurisprudence,543
"Queen""s",3.14.00 - Linguistics,51
"Queen""s",8.12.00 - Mathematics,178
"Queen""s",6.12.00 - Mechanical engineering,625
"Queen""s",7.08.00 - Medical specialties,440
"Queen""s",7.05.00 - Medicine (professional programme),400
"Queen""s",7.10.10 - microbiology,23
"Queen""s",6.11.00 - Mining engineering,214
"Queen""s",2.05.00 - Music,177
"Queen""s",9.99.98 - Not applicable/none,216
"Queen""s",9.99.99 - Not reported,47
"Queen""s",7.15.00 - Nursing,466
"Queen""s",7.27.04 - Occupational therapy,134
"Queen""s",4.09.99 - Other area studies,299
"Queen""s",5.09.99 - Other biology,"1,506"
"Queen""s",6.14.00 - Other engineering,372
"Queen""s",3.11.99 - Other languages and literatures,23
"Queen""s",3.17.00 - Other mass communication studies,127
"Queen""s",2.08.00 - Other performing arts,212
"Queen""s",8.30.99 - Other physics,60
"Queen""s",7.27.99 - Other rehabilitation,32
"Queen""s",7.10.14 - pathology,45
"Queen""s",7.06.26 - pharmacology,22
"Queen""s",3.21.00 - Philosophy,184
"Queen""s",1.39.00 - Physical education,199
"Queen""s",7.27.06 - Physical therapy,136
"Queen""s",7.06.28 - physiology,20
"Queen""s",4.43.00 - Political science,560
"Queen""s",4.46.00 - Psychology,543
"Queen""s",4.14.01 - Public administration,68
"Queen""s","4.40.08 - Regional, rural, urban, city planning and community development",71
"Queen""s",3.24.00 - Religious studies,51
"Queen""s","4.40.10 - Resource management, environmental studies",130
"Queen""s",4.52.00 - Sociology,570
"Queen""s",7.12.00 - Surgical specialties,72
"Queen""s","3.25.00 - Theological studies (professional programme, preparation for the ministry)",15
"Queen""s",Total,"21,049"
Ryerson,6.05.00 - Aeronautical and aerospace engineering,349
Ryerson,6.03.00 - Architecture,404
Ryerson,7.06.08 - biophysics,40
Ryerson,5.12.00 - Biophysics,113
Ryerson,6.06.00 - Chemical engineering,286
Ryerson,8.15.00 - Chemistry,116
Ryerson,6.07.00 - Civil engineering,552
Ryerson,"4.12.00 - Commerce, management, business administration, administrative studies/sciences","6,230"
Ryerson,8.06.00 - Computer science,499
Ryerson,4.13.00 - Criminology,379
Ryerson,4.27.00 - Economics,222
Ryerson,1.38.08 - Education foundations,23
Ryerson,6.09.00 - Electrical engineering,615
Ryerson,6.16.00 - Engineering general,87
Ryerson,3.05.00 - English language and/or literature,182
Ryerson,7.24.00 - Epidemiology and public health,367
Ryerson,2.03.00 - Fine art,44
Ryerson,5.18.08 - Food science and nutrition,244
Ryerson,0.00.02 - General Arts,75
Ryerson,0.00.08 - General Science,49
Ryerson,4.30.00 - Geography,20
Ryerson,3.09.00 - History,169
Ryerson,4.14.03 - Hotel and food administration,477
Ryerson,6.10.00 - Industrial engineering,115
Ryerson,3.10.00 - Journalism,653
Ryerson,"1.36.00 - Kindergarten, pre-school teacher training",593
Ryerson,8.12.00 - Mathematics,100
Ryerson,6.12.00 - Mechanical engineering,570
Ryerson,7.15.00 - Nursing,"1,701"
Ryerson,2.14.99 - Other applied arts,"1,977"
Ryerson,7.06.99 - other basic sciences,31
Ryerson,5.09.99 - Other biology,417
Ryerson,6.14.00 - Other engineering,443
Ryerson,3.17.00 - Other mass communication studies,627
Ryerson,2.08.00 - Other performing arts,427
Ryerson,8.30.99 - Other physics,43
Ryerson,4.57.00 - Other social services,260
Ryerson,4.14.99 - Other specialized administration studies,75
Ryerson,3.21.00 - Philosophy,29
Ryerson,4.43.00 - Political science,278
Ryerson,4.46.00 - Psychology,536
Ryerson,4.14.01 - Public administration,76
Ryerson,"4.40.08 - Regional, rural, urban, city planning and community development",431
Ryerson,"4.40.10 - Resource management, environmental studies",320
Ryerson,4.49.00 - Social work and social welfare,623
Ryerson,4.52.00 - Sociology,857
Ryerson,Total,"22,728"
Toronto,6.05.00 - Aeronautical and aerospace engineering,145
Toronto,4.03.00 - Anthropology,689
Toronto,4.06.00 - Archaeology,79
Toronto,6.03.00 - Architecture,326
Toronto,3.11.03 - Asian languages and literatures,466
Toronto,8.30.01 - Astronomy,207
Toronto,7.27.02 - Aural and oral rehabilitation,10
Toronto,7.06.06 - biochemistry,155
Toronto,5.06.00 - Biochemistry,768
Toronto,7.06.08 - biophysics,252
Toronto,5.12.00 - Biophysics,24
Toronto,4.08.00 - Canadian studies,105
Toronto,6.06.00 - Chemical engineering,656
Toronto,8.15.00 - Chemistry,651
Toronto,6.07.00 - Civil engineering,721
Toronto,"3.03.00 - Classics, classical and dead languages",247
Toronto,"4.12.00 - Commerce, management, business administration, administrative studies/sciences","8,062"
Toronto,3.11.01 - Comparative literature,46
Toronto,8.06.00 - Computer science,"1,137"
Toronto,4.13.00 - Criminology,404
Toronto,1.38.06 - Curriculum specialization,454
Toronto,7.04.00 - Dental specialties,144
Toronto,7.03.00 - Dentistry (professional programme),315
Toronto,4.27.00 - Economics,887
Toronto,1.38.08 - Education foundations,220
Toronto,1.38.03 - Education psychology,541
Toronto,6.09.00 - Electrical engineering,"1,266"
Toronto,1.18.00 - Elementary/secondary teacher training,"1,231"
Toronto,7.06.10 - embryology,12
Toronto,7.06.12 - endocrinology,25
Toronto,6.16.00 - Engineering general,261
Toronto,6.15.00 - Engineering science,896
Toronto,3.05.00 - English language and/or literature,"1,739"
Toronto,7.24.00 - Epidemiology and public health,495
Toronto,2.03.00 - Fine art,577
Toronto,5.18.08 - Food science and nutrition,191
Toronto,6.20.00 - Forestry,131
Toronto,3.06.00 - French language and/or literature,465
Toronto,0.00.02 - General Arts,"5,796"
Toronto,0.00.08 - General Science,"5,265"
Toronto,7.06.14 - genetics,265
Toronto,5.09.10 - Genetics,25
Toronto,4.30.00 - Geography,779
Toronto,8.18.00 - Geology and related,218
Toronto,4.14.02 - Health administration,574
Toronto,3.09.00 - History,"1,623"
Toronto,7.10.06 - immunology,296
Toronto,6.10.00 - Industrial engineering,346
Toronto,3.10.00 - Journalism,94
Toronto,"1.40.00 - Kinesiology, human kinetics and kinanthropology",286
Toronto,6.22.00 - Landscape architecture,79
Toronto,4.33.00 - Law and jurisprudence,"1,104"
Toronto,3.12.00 - Library science,42
Toronto,3.14.00 - Linguistics,333
Toronto,8.12.00 - Mathematics,"1,820"
Toronto,6.12.00 - Mechanical engineering,"1,016"
Toronto,4.09.10 - Mediaeval,24
Toronto,3.11.02 - Mediaeval languages,81
Toronto,7.08.00 - Medical specialties,824
Toronto,7.05.00 - Medicine (professional programme),"1,020"
Toronto,6.13.00 - Metallurgical engineering,255
Toronto,"8.21.00 - Metallurgy, materials science",14
Toronto,7.10.10 - microbiology,18
Toronto,2.05.00 - Music,767
Toronto,9.99.98 - Not applicable/none,516
Toronto,7.15.00 - Nursing,622
Toronto,7.27.04 - Occupational therapy,167
Toronto,2.14.99 - Other applied arts,435
Toronto,4.09.99 - Other area studies,287
Toronto,7.06.99 - other basic sciences,506
Toronto,5.09.99 - Other biology,"3,362"
Toronto,6.14.00 - Other engineering,662
Toronto,7.99.00 - Other health professions and occupations,308
Toronto,3.11.99 - Other languages and literatures,374
Toronto,3.17.00 - Other mass communication studies,583
Toronto,1.38.99 - Other non-teaching fields,171
Toronto,7.10.99 - other paraclinical sciences,"1,615"
Toronto,2.08.00 - Other performing arts,185
Toronto,8.30.99 - Other physics,390
Toronto,3.13.00 - Other records science,399
Toronto,7.27.99 - Other rehabilitation,406
Toronto,4.14.99 - Other specialized administration studies,214
Toronto,7.10.14 - pathology,66
Toronto,7.06.26 - pharmacology,166
Toronto,7.21.00 - Pharmacy,"1,225"
Toronto,3.21.00 - Philosophy,"1,269"
Toronto,1.39.00 - Physical education,560
Toronto,7.27.06 - Physical therapy,213
Toronto,7.06.28 - physiology,150
Toronto,4.43.00 - Political science,"1,626"
Toronto,4.46.00 - Psychology,"3,826"
Toronto,1.41.00 - Recreation,64
Toronto,"4.40.08 - Regional, rural, urban, city planning and community development",132
Toronto,3.24.00 - Religious studies,789
Toronto,"4.40.10 - Resource management, environmental studies",636
Toronto,3.11.04 - Slavic languages and literatures,46
Toronto,4.09.40 - Slavic studies,43
Toronto,4.49.00 - Social work and social welfare,427
Toronto,4.52.00 - Sociology,"1,450"
Toronto,7.12.00 - Surgical specialties,619
Toronto,"3.25.00 - Theological studies (professional programme, preparation for the ministry)",476
Toronto,5.24.00 - Zoology,252
Toronto,Total,"73,215"
Trent,4.03.00 - Anthropology,175
Trent,4.06.00 - Archaeology,64
Trent,5.06.00 - Biochemistry,295
Trent,4.08.00 - Canadian studies,165
Trent,8.15.00 - Chemistry,80
Trent,"3.03.00 - Classics, classical and dead languages",57
Trent,"4.12.00 - Commerce, management, business administration, administrative studies/sciences",567
Trent,8.06.00 - Computer science,87
Trent,4.27.00 - Economics,81
Trent,1.18.00 - Elementary/secondary teacher training,270
Trent,3.05.00 - English language and/or literature,400
Trent,2.03.00 - Fine art,141
Trent,3.06.00 - French language and/or literature,81
Trent,0.00.00 - General Arts and Science,577
Trent,4.30.00 - Geography,77
Trent,3.09.00 - History,420
Trent,0.00.01 - Interdisciplinary Studies,40
Trent,3.10.00 - Journalism,27
Trent,8.12.00 - Mathematics,80
Trent,"8.21.00 - Metallurgy, materials science",15
Trent,9.99.98 - Not applicable/none,46
Trent,7.15.00 - Nursing,613
Trent,8.27.00 - Oceanography and waters studies,158
Trent,5.03.99 - Other agriculture,25
