Course Code,Course description,Grade,Pathway or destination,Enrolment
CHF4U,L'Ontario fran‡ais,Grade 12,University Preparation (Grade 11 & 12 level),<10
CHH3C,Canadian History and Politics Since 1945,Grade 11,College Preparation (Grade 11 & 12 level),107
CHH3E,Canadian History and Politics Since 1945,Grade 11,Workplace Preparation (Grade 11 & 12 level),34
CHI4U,"Canada: History, Identity and Culture",Grade 12,University Preparation (Grade 11 & 12 level),3101
CHM4E,Adventures in World History,Grade 12,Workplace Preparation (Grade 11 & 12 level),1699
CHT3O,World History since 1900: Global and Regional Interactions,Grade 11,Open (Grade 9 - 12 level),2535
CHV2O,Civics and Citizenship,Grade 10,Open (Grade 9 - 12 level),148356
CHW3M,World History to the End of the Fifteenth Century,Grade 11,University/College Preparation (Grade 11 & 12 level),20434
CHY4C,World History since the Fifteenth Century,Grade 12,College Preparation (Grade 11 & 12 level),2192
CHY4U,World History since the Fifteenth Century,Grade 12,University Preparation (Grade 11 & 12 level),18640
CIA4U,Analysing Current Economic Issues,Grade 12,University Preparation (Grade 11 & 12 level),11242
CIC3E,Making Economic Choices,Grade 11,Workplace Preparation (Grade 11 & 12 level),73
CIE3M,The Individual and the Economy,Grade 11,University/College Preparation (Grade 11 & 12 level),2986
CLN4U,Canadian and International Law,Grade 12,University Preparation (Grade 11 & 12 level),23558
CLU3E,Understanding Canadian Law in Everyday Life,Grade 11,Workplace Preparation (Grade 11 & 12 level),2101
CLU3M,Understanding Canadian Law,Grade 11,University/College Preparation (Grade 11 & 12 level),32764
CPC3O,Politics in Action: Making Change,Grade 11,Open (Grade 9 - 12 level),148
CPW4U,Canadian and World Politics,Grade 12,University Preparation (Grade 11 & 12 level),5299
EAB3O,Communications for the World of Business and Technology,Grade 11,Open (Grade 9 - 12 level),16
EAC4C,The Writer's Craft,Grade 12,College Preparation (Grade 11 & 12 level),16
EAC4U,The Writer's Craft,Grade 12,University Preparation (Grade 11 & 12 level),360
EAE1D,English,Grade 9,Academic (Grade 9 & 10 level),4146
EAE1P,English,Grade 9,Applied (Grade 9 & 10 level),1297
EAE2D,English,Grade 10,Academic (Grade 9 & 10 level),4057
EAE2P,English,Grade 10,Applied (Grade 9 & 10 level),1415
EAE3C,English,Grade 11,College Preparation (Grade 11 & 12 level),1821
EAE3E,English,Grade 11,Workplace Preparation (Grade 11 & 12 level),109
EAE3R,"English, Grade 11 Transfer Course, Workplace Preparation to College Preparation",Grade 11,College Preparation (Transfer) (2nd course),<10
EAE3U,English,Grade 11,University Preparation (Grade 11 & 12 level),3480
EAE4C,English,Grade 12,College Preparation (Grade 11 & 12 level),1687
EAE4E,English,Grade 12,Workplace Preparation (Grade 11 & 12 level),60
EAE4U,English,Grade 12,University Preparation (Grade 11 & 12 level),2952
EAL4U,English Literature,Grade 12,University Preparation (Grade 11 & 12 level),137
EANAO,Anglais pour d‚butants 1 (APD1),Level 1,Open (Grade 9 - 12 level),248
EANBO,Anglais pour d‚butants 2 (APD2),Level 2,Open (Grade 9 - 12 level),263
EANCO,Anglais pour d‚butants 3 (APD3),Level 3,Open (Grade 9 - 12 level),96
EANDO,Anglais pour d‚butants 4 (APD4),Level 4,Open (Grade 9 - 12 level),77
EAT3M,Canadian Literature,Grade 11,University/College Preparation (Grade 11 & 12 level),22
EBT4O,Business and Technological Communication,Grade 12,Open (Grade 9 - 12 level),694
ELDAO,"English Literacy Development, ELD Level 1",Level 1,Open (Grade 9 - 12 level),640
ELDBO,"English Literacy Development, ELD Level 2",Level 2,Open (Grade 9 - 12 level),525
ELDCO,"English Literacy Development, ELD Level 3",Level 3,Open (Grade 9 - 12 level),487
ELDDO,"English Literacy Development, ELD Level 4",Level 4,Open (Grade 9 - 12 level),377
ELDEO,"English Literacy Development, ELD Level 5",Level 5,Open (Grade 9 - 12 level),171
ELS2O,"Literacy Skills, Grade 10, Open",Grade 10,Open (Grade 9 - 12 level),2271
ELS3O,Literacy Schools: Reading and Writing,Grade 11,Open (Grade 9 - 12 level),230
EMS3O,Media Studies,Grade 11,Open (Grade 9 - 12 level),10236
ENG1D,English,Grade 9,Academic (Grade 9 & 10 level),104394
ENG1P,English,Grade 9,Applied (Grade 9 & 10 level),35308
ENG2D,English,Grade 10,Academic (Grade 9 & 10 level),108545
ENG2H,"English Transfer, Grade 10, Applied to Academic",Grade 10,Academic (Transfer),<10
ENG2P,English,Grade 10,Applied (Grade 9 & 10 level),41985
ENG3C,English,Grade 11,College Preparation (Grade 11 & 12 level),55531
ENG3E,English,Grade 11,Workplace Preparation (Grade 11 & 12 level),8750
ENG3K,"English Transfer, Grade 11, College Preparation to University Preparation",Grade 11,University Preparation (Transfer),<10
ENG3R,"English Transfer, Grade 11, Workplace Preparation to College Preparation",Grade 11,College Preparation (Transfer) (2nd course),<10
ENG3U,English,Grade 11,University Preparation (Grade 11 & 12 level),102288
ENG4C,English,Grade 12,College Preparation (Grade 11 & 12 level),65248
ENG4E,English,Grade 12,Workplace Preparation (Grade 11 & 12 level),5393
ENG4U,English,Grade 12,University Preparation (Grade 11 & 12 level),92259
EPS3O,Presentation and Speaking Skills,Grade 11,Open (Grade 9 - 12 level),1472
ESLAO,"English as a Second Language, ESL Level 1",Level 1,Open (Grade 9 - 12 level),2545
ESLBO,"English as a Second Language, ESL Level 2",Level 2,Open (Grade 9 - 12 level),4364
ESLCO,"English as a Second Language, ESL Level 3",Level 3,Open (Grade 9 - 12 level),6698
ESLDO,"English as a Second Language, ESL Level 4",Level 4,Open (Grade 9 - 12 level),7308
ESLEO,"English as a Second Language, ESL Level 5",Level 5,Open (Grade 9 - 12 level),5409
ETC3M,Canadian Literature,Grade 11,University/College Preparation (Grade 11 & 12 level),106
ETS4C,Studies in Literature,Grade 12,College Preparation (Grade 11 & 12 level),233
ETS4U,Studies in Literature,Grade 12,University Preparation (Grade 11 & 12 level),4531
EWC4C,The Writer's Craft,Grade 12,College Preparation (Grade 11 & 12 level),1504
EWC4U,The Writer's Craft,Grade 12,University Preparation (Grade 11 & 12 level),16628
FAE4O,Atelier d'‚criture,Grade 12,Open (Grade 9 - 12 level),18
FAF4O,Fran‡ais des affaires et de la technologie,Grade 12,Open (Grade 9 - 12 level),14
FCC3O,"Comp‚tence fonctionnelle en communication orale, en lecture et en ‚criture",Grade 11,Open (Grade 9 - 12 level),19
FEF1D,Extended French,Grade 9,Academic (Grade 9 & 10 level),3458
FEF2D,Extended French,Grade 10,Academic (Grade 9 & 10 level),2869
FEF3U,Extended French,Grade 11,University Preparation (Grade 11 & 12 level),2269
FEF4U,Extended French,Grade 12,University Preparation (Grade 11 & 12 level),2019
FFAAO,Actualisation linguistique en fran‡ais (ALF1),Level 1,Open (Grade 9 - 12 level),19
FFABO,Actualisation linguistique en fran‡ais (ALF2),Level 2,Open (Grade 9 - 12 level),13
FFACO,Actualisation linguistique en fran‡ais (ALF3),Level 3,Open (Grade 9 - 12 level),<10
FFADO,Actualisation linguistique en fran‡ais (ALF4),Level 4,Open (Grade 9 - 12 level),10
FFM3O,Fran‡ais des m‚dias,Grade 11,Open (Grade 9 - 12 level),65
FFPAO,Programme d'appui aux nouveaux arrivants 1,Level 1,Open (Grade 9 - 12 level),38
FFPBO,Programme d'appui aux nouveaux arrivants 2,Level 2,Open (Grade 9 - 12 level),51
FFPCO,Programme d'appui aux nouveaux arrivants 3,Level 3,Open (Grade 9 - 12 level),14
FFPDO,Programme d'appui aux nouveaux arrivants 4,Level 4,Open (Grade 9 - 12 level),<10
FIF1D,French Immersion,Grade 9,Academic (Grade 9 & 10 level),8081
FIF2D,French Immersion,Grade 10,Academic (Grade 9 & 10 level),7186
FIF3U,French Immersion,Grade 11,University Preparation (Grade 11 & 12 level),6401
FIF4U,French Immersion,Grade 12,University Preparation (Grade 11 & 12 level),5619
FLC4M,Litt‚rature du Canada Fran‡ais,Grade 12,University/College Preparation (Grade 11 & 12 level),10
FLO4U,Grandes oeuvres de la litt‚rature,Grade 12,University Preparation (Grade 11 & 12 level),95
FRA1D,Fran‡ais,Grade 9,Academic (Grade 9 & 10 level),4245
FRA1P,Fran‡ais,Grade 9,Applied (Grade 9 & 10 level),1424
FRA2D,Fran‡ais,Grade 10,Academic (Grade 9 & 10 level),4120
FRA2H,"Fran‡ais, 10e ann‚e, transition du cours appliqu‚ au cours th‚orique",Grade 10,Academic (Transfer),<10
FRA2P,Fran‡ais,Grade 10,Applied (Grade 9 & 10 level),1658
FRA3C,Fran‡ais,Grade 11,College Preparation (Grade 11 & 12 level),2102
FRA3E,Fran‡ais,Grade 11,Workplace Preparation (Grade 11 & 12 level),502
FRA3U,Fran‡ais,Grade 11,University Preparation (Grade 11 & 12 level),3713
FRA4C,Fran‡ais,Grade 12,College Preparation (Grade 11 & 12 level),2052
FRA4E,Fran‡ais,Grade 12,Workplace Preparation (Grade 11 & 12 level),233
FRA4U,Fran‡ais,Grade 12,University Preparation (Grade 11 & 12 level),3375
FSF1D,Core French,Grade 9,Academic (Grade 9 & 10 level),69608
FSF1P,Core French,Grade 9,Applied (Grade 9 & 10 level),41178
FSF2D,Core French,Grade 10,Academic (Grade 9 & 10 level),27708
FSF2P,Core French,Grade 10,Applied (Grade 9 & 10 level),827
FSF3O,Core French,Grade 11,Open (Grade 9 - 12 level),270
FSF3U,Core French,Grade 11,University Preparation (Grade 11 & 12 level),15407
FSF4O,Core French,Grade 12,Open (Grade 9 - 12 level),85
FSF4U,Core French,Grade 12,University Preparation (Grade 11 & 12 level),10489
GLC2O,Career Studies,Grade 10,Open (Grade 9 - 12 level),167593
GLD2O,Discovering the Workplace,Grade 10,Open (Grade 9 - 12 level),6207
GLE1O,Learning Strategies 1: Skills for Success in Secondary School,Grade 9,Open (Grade 9 - 12 level),14281
GLE2O,Learning Strategies 2: Skills for Success in Secondary School,Grade 10,Open (Grade 9 - 12 level),8381
GLE3O,Advanced Learning Strategies: Skills for Success After Secondary School,Grade 11,Open (Grade 9 - 12 level),6196
GLE4O,Advanced Learning Strategies: Skills for Success After Secondary School,Grade 12,Open (Grade 9 - 12 level),3597
GLN4O,Navigating the Workplace,Grade 12,Open (Grade 9 - 12 level),11811
GLS1O,Learning Strategies 1: Skills for Success in Secondary School,Grade 9,Open (Grade 9 - 12 level),13089
GLS4O,Advanced Learning Strategies: Skills for Success After Secondary School,Grade 12,Open (Grade 9 - 12 level),4809
GPP3O,Leadership and Peer Support,Grade 11,Open (Grade 9 - 12 level),18519
GWL3O,Designing Your Future,Grade 11,Open (Grade 9 - 12 level),12235
HFA4M,Food and Nutrition Sciences,Grade 12,University/College Preparation (Grade 11 & 12 level),16781
HFN1O,Food and Nutrition,Grade 9,Open (Grade 9 - 12 level),6741
HFN2O,Food and Nutrition,Grade 10,Open (Grade 9 - 12 level),25146
HHG4M,Human Development Throughout the Lifespan,Grade 12,University/College Preparation (Grade 11 & 12 level),7960
HHS4M,Individuals and Families in a Diverse Society,Grade 12,University/College Preparation (Grade 11 & 12 level),23749
HIF1O,Exploring Family Studies,Grade 9,Open (Grade 9 - 12 level),10084
HIF2O,Exploring Family Studies,Grade 10,Open (Grade 9 - 12 level),2407
HIP3E,Managing Personal Resources,Grade 11,Workplace Preparation (Grade 11 & 12 level),5062
HIR3C,Managing Personal and Family Resources,Grade 11,College Preparation (Grade 11 & 12 level),4383
HLS3O,Housing and Home Design,Grade 11,Open (Grade 9 - 12 level),2136
HNB4O,The Fashion Industry,Grade 12,Open (Grade 9 - 12 level),2019
HNC3O,Fashion and Creative Expression,Grade 11,Open (Grade 9 - 12 level),6247
HPC3O,Raising Healthy Children,Grade 11,Open (Grade 9 - 12 level),21803
HPD4E,Parenting and Human Development,Grade 12,Workplace Preparation (Grade 11 & 12 level),2446
HPW3C,Working with Infants and Young Children,Grade 11,College Preparation (Grade 11 & 12 level),7736
HRE1O,Religious Education,Grade 9,Open (Grade 9 - 12 level),47153
HRE2O,Religious Education,Grade 10,Open (Grade 9 - 12 level),47230
HRE3M,Religious Education,Grade 11,University/College Preparation (Grade 11 & 12 level),6023
HRE3O,Religious Education,Grade 11,Open (Grade 9 - 12 level),3232
HRE4M,Religious Education,Grade 12,University/College Preparation (Grade 11 & 12 level),26085
HRE4O,Religious Education,Grade 12,Open (Grade 9 - 12 level),14552
HRF3O,World Religions and Belief Traditions in Daily Life,Grade 11,Open (Grade 9 - 12 level),16364
HRT3M,"World Religions and Belief Traditions: Perspectives, Issues, and Challenges",Grade 11,University/College Preparation (Grade 11 & 12 level),29702
HSB4M,Challenge and Change in Society,Grade 12,University/College Preparation (Grade 11 & 12 level),24422
HSP3M,"Introduction to Anthropology, Psychology, and Sociology",Grade 11,University/College Preparation (Grade 11 & 12 level),48804
HZB3O,Philosophy: The Big Questions,Grade 11,Open (Grade 9 - 12 level),4378
HZT4U,Philosophy: Questions and Theories,Grade 12,University Preparation (Grade 11 & 12 level),20542
ICE3E,Computer Engineering,Grade 11,Workplace Preparation (Grade 11 & 12 level),14
ICS2O,Introduction to Computer Studies,Grade 10,Open (Grade 9 - 12 level),12436
ICS3C,Introduction to Computer Programming,Grade 11,College Preparation (Grade 11 & 12 level),2710
ICS3M,Computer and Information Science,Grade 11,University/College Preparation (Grade 11 & 12 level),<10
ICS3U,Introduction to Computer Science,Grade 11,University Preparation (Grade 11 & 12 level),13320
ICS4C,Computer Programming,Grade 12,College Preparation (Grade 11 & 12 level),619
ICS4U,Computer Science,Grade 12,University Preparation (Grade 11 & 12 level),5753
IDC3O,Interdisciplinary Studies,Grade 11,Open (Grade 9 - 12 level),6466
IDC4O,Interdisciplinary Studies,Grade 12,Open (Grade 9 - 12 level),3454
IDC4U,Interdisciplinary Studies,Grade 12,University Preparation (Grade 11 & 12 level),16604
IDP3O,Interdisciplinary Studies,Grade 11,Open (Grade 9 - 12 level),604
IDP4O,Interdisciplinary Studies,Grade 12,Open (Grade 9 - 12 level),308
IDP4U,Interdisciplinary Studies,Grade 12,University Preparation (Grade 11 & 12 level),1145
KALAN,Creative Arts for Enjoyment and Expression,Level 1,Special Education Non-credit Course (all levels),1804
KALBN,Creative Arts for Enjoyment and Expression,Level 2,Special Education Non-credit Course (all levels),1117
KALCN,Creative Arts for Enjoyment and Expression,Level 3,Special Education Non-credit Course (all levels),740
KALDN,Creative Arts for Enjoyment and Expression,Level 4,Special Education Non-credit Course (all levels),740
KALEN,Creative Arts for Enjoyment and Expression,Level 5,Special Education Non-credit Course (all levels),526
KALFN,Creative Arts for Enjoyment and Expression,Level 6,Special Education Non-credit Course (all levels),271
KALGN,Creative Arts for Enjoyment and Expression,Level 7,Special Education Non-credit Course (all levels),146
KALHN,Creative Arts for Enjoyment and Expression,Level 8,Special Education Non-credit Course (all levels),12
KALIN,Creative Arts for Enjoyment and Expression,Level 9,Special Education Non-credit Course (all levels),30
KALJN,Creative Arts for Enjoyment and Expression,Level 10,Special Education Non-credit Course (all levels),32
KALKN,Creative Arts for Enjoyment and Expression,Level 11,Special Education Non-credit Course (all levels),75
KALLN,Creative Arts for Enjoyment and Expression,Level 12,Special Education Non-credit Course (all levels),<10
KALMN,Creative Arts for Enjoyment and Expression,Level 13,Special Education Non-credit Course (all levels),10
KALNN,Creative Arts for Enjoyment and Expression,Level 14,Special Education Non-credit Course (all levels),<10
KALON,Creative Arts for Enjoyment and Expression,Level 15,Special Education Non-credit Course (all levels),<10
KBBAN,Money Management and Personal Banking,Level 1,Special Education Non-credit Course (all levels),372
KBBBN,Money Management and Personal Banking,Level 2,Special Education Non-credit Course (all levels),259
KBBCN,Money Management and Personal Banking,Level 3,Special Education Non-credit Course (all levels),180
KBBDN,Money Management and Personal Banking,Level 4,Special Education Non-credit Course (all levels),240
KBBEN,Money Management and Personal Banking,Level 5,Special Education Non-credit Course (all levels),151
KBBFN,Money Management and Personal Banking,Level 7,Special Education Non-credit Course (all levels),431
KBBGN,Money Management and Personal Banking,Level 7,Special Education Non-credit Course (all levels),41
KBBIN,Money Management and Personal Banking,Level 9,Special Education Non-credit Course (all levels),<10
KBBJN,Money Management and Personal Banking,Level 10,Special Education Non-credit Course (all levels),<10
KBBKN,Money Management and Personal Banking,Level 11,Special Education Non-credit Course (all levels),<10
KBBNN,Money Management and Personal Banking,Level 14,Special Education Non-credit Course (all levels),<10
KCCAN,Transit Training and Community Exploration,Level 1,Special Education Non-credit Course (all levels),347
KCCBN,Transit Training and Community Exploration,Level 2,Special Education Non-credit Course (all levels),215
KCCCN,Transit Training and Community Exploration,Level 3,Special Education Non-credit Course (all levels),381
KCCDN,Transit Training and Community Exploration,Level 4,Special Education Non-credit Course (all levels),251
KCCEN,Transit Training and Community Exploration,Level 5,Special Education Non-credit Course (all levels),169
KCCFN,Transit Training and Community Exploration,Level 6,Special Education Non-credit Course (all levels),206
KCCGN,Transit Training and Community Exploration,Level 7,Special Education Non-credit Course (all levels),62
KCCHN,Transit Training and Community Exploration,Level 8,Special Education Non-credit Course (all levels),18
KCCIN,Transit Training and Community Exploration,Level 9,Special Education Non-credit Course (all levels),<10
KCWAN,Exploring Our World,Level 1,Special Education Non-credit Course (all levels),1165
KCWBN,Exploring Our World,Level 2,Special Education Non-credit Course (all levels),468
KCWCN,Exploring Our World,Level 3,Special Education Non-credit Course (all levels),482
KCWDN,Exploring Our World,Level 4,Special Education Non-credit Course (all levels),595
KCWEN,Exploring Our World,Level 5,Special Education Non-credit Course (all levels),204
KCWFN,Exploring Our World,Level 6,Special Education Non-credit Course (all levels),284
KCWGN,Exploring Our World,Level 7,Special Education Non-credit Course (all levels),106
KCWKN,Exploring Our World,Level 11,Special Education Non-credit Course (all levels),<10
KCWLN,Exploring Our World,Level 12,Special Education Non-credit Course (all levels),14
KCWMN,Exploring Our World,Level 13,Special Education Non-credit Course (all levels),12
KENAN,Language and Communication Development,Level 1,Special Education Non-credit Course (all levels),3890
KENBN,Language and Communication Development,Level 2,Special Education Non-credit Course (all levels),1943
KENCN,Language and Communication Development,Level 3,Special Education Non-credit Course (all levels),1699
KENDN,Language and Communication Development,Level 4,Special Education Non-credit Course (all levels),1913
KENEN,Language and Communication Development,Level 5,Special Education Non-credit Course (all levels),984
KENFN,Language and Communication Development,Level 6,Special Education Non-credit Course (all levels),918
KENGN,Language and Communication Development,Level 7,Special Education Non-credit Course (all levels),507
KENHN,Language and Communication Development,Level 8,Special Education Non-credit Course (all levels),115
KENIN,Language and Communication Development,Level 9,Special Education Non-credit Course (all levels),31
KENJN,Language and Communication Development,Level 10,Special Education Non-credit Course (all levels),24
KENKN,Language and Communication Development,Level 11,Special Education Non-credit Course (all levels),12
KENLN,Language and Communication Development,Level 12,Special Education Non-credit Course (all levels),17
KENMN,Language and Communication Development,Level 13,Special Education Non-credit Course (all levels),12
KGLAN,Personal Life Skills,Level 1,Special Education Non-credit Course (all levels),2623
KGLBN,Personal Life Skills,Level 2,Special Education Non-credit Course (all levels),1219
KGLCN,Personal Life Skills,Level 3,Special Education Non-credit Course (all levels),1177
KGLDN,Personal Life Skills,Level 4,Special Education Non-credit Course (all levels),1223
KGLEN,Personal Life Skills,Level 5,Special Education Non-credit Course (all levels),893
KGLFN,Personal Life Skills,Level 6,Special Education Non-credit Course (all levels),889
KGLGN,Personal Life Skills,Level 7,Special Education Non-credit Course (all levels),343
KGLHN,Personal Life Skills,Level 8,Special Education Non-credit Course (all levels),148
KGLIN,Personal Life Skills,Level 9,Special Education Non-credit Course (all levels),43
KGLJN,Personal Life Skills,Level 10,Special Education Non-credit Course (all levels),35
KGLKN,Personal Life Skills,Level 11,Special Education Non-credit Course (all levels),<10
KGLLN,Personal Life Skills,Level 12,Special Education Non-credit Course (all levels),17
KGLMN,Personal Life Skills,Level 13,Special Education Non-credit Course (all levels),24
KGLNN,Personal Life Skills,Level 14,Special Education Non-credit Course (all levels),<10
KGLON,Personal Life Skills,Level 15,Special Education Non-credit Course (all levels),17
KGWAN,Exploring the World of Work,Level 1,Special Education Non-credit Course (all levels),1355
KGWBN,Exploring the World of Work,Level 2,Special Education Non-credit Course (all levels),755
KGWCN,Exploring the World of Work,Level 3,Special Education Non-credit Course (all levels),702
KGWDN,Exploring the World of Work,Level 4,Special Education Non-credit Course (all levels),943
KGWEN,Exploring the World of Work,Level 5,Special Education Non-credit Course (all levels),505
KGWFN,Exploring the World of Work,Level 6,Special Education Non-credit Course (all levels),685
KGWGN,Exploring the World of Work,Level 7,Special Education Non-credit Course (all levels),277
KGWHN,Exploring the World of Work,Level 8,Special Education Non-credit Course (all levels),15
KGWIN,Exploring the World of Work,Level 9,Special Education Non-credit Course (all levels),<10
KGWJN,Exploring the World of Work,Level 10,Special Education Non-credit Course (all levels),<10
KGWKN,Exploring the World of Work,Level 11,Special Education Non-credit Course (all levels),<10
KGWLN,Exploring the World of Work,Level 12,Special Education Non-credit Course (all levels),<10
KGWMN,Exploring the World of Work,Level 13,Special Education Non-credit Course (all levels),29
KGWNN,Exploring the World of Work,Level 14,Special Education Non-credit Course (all levels),11
KHDAN,Social Skills Development,Level 1,Special Education Non-credit Course (all levels),1644
KHDBN,Social Skills Development,Level 2,Special Education Non-credit Course (all levels),780
KHDCN,Social Skills Development,Level 3,Special Education Non-credit Course (all levels),1024
KHDDN,Social Skills Development,Level 4,Special Education Non-credit Course (all levels),731
KHDEN,Social Skills Development,Level 5,Special Education Non-credit Course (all levels),438
KHDFN,Social Skills Development,Level 6,Special Education Non-credit Course (all levels),561
KHDGN,Social Skills Development,Level 7,Special Education Non-credit Course (all levels),198
KHDHN,Social Skills Development,Level 8,Special Education Non-credit Course (all levels),37
KHDIN,Social Skills Development,Level 9,Special Education Non-credit Course (all levels),<10
KHDJN,Social Skills Development,Level 10,Special Education Non-credit Course (all levels),<10
KHDKN,Social Skills Development,Level 11,Special Education Non-credit Course (all levels),<10
KHDLN,Social Skills Development,Level 12,Special Education Non-credit Course (all levels),<10
KHDON,Social Skills Development,Level 15,Special Education Non-credit Course (all levels),12
KHIAN,Culinary Skills,Level 1,Special Education Non-credit Course (all levels),651
KHIBN,Culinary Skills,Level 2,Special Education Non-credit Course (all levels),501
KHICN,Culinary Skills,Level 3,Special Education Non-credit Course (all levels),341
KHIDN,Culinary Skills,Level 4,Special Education Non-credit Course (all levels),534
KHIEN,Culinary Skills,Level 5,Special Education Non-credit Course (all levels),156
KHIFN,Culinary Skills,Level 6,Special Education Non-credit Course (all levels),78
KHIGN,Culinary Skills,Level 7,Special Education Non-credit Course (all levels),87
KHIHN,Culinary Skills,Level 8,Special Education Non-credit Course (all levels),<10
KHIIN,Culinary Skills,Level 9,Special Education Non-credit Course (all levels),<10
KMMAN,Numeracy and Numbers,Level 1,Special Education Non-credit Course (all levels),3177
KMMBN,Numeracy and Numbers,Level 2,Special Education Non-credit Course (all levels),1598
KMMCN,Numeracy and Numbers,Level 3,Special Education Non-credit Course (all levels),1354
KMMDN,Numeracy and Numbers,Level 4,Special Education Non-credit Course (all levels),1466
KMMEN,Numeracy and Numbers,Level 5,Special Education Non-credit Course (all levels),730
KMMFN,Numeracy and Numbers,Level 6,Special Education Non-credit Course (all levels),793
KMMGN,Numeracy and Numbers,Level 7,Special Education Non-credit Course (all levels),349
KMMHN,Numeracy and Numbers,Level 8,Special Education Non-credit Course (all levels),96
KMMIN,Numeracy and Numbers,Level 9,Special Education Non-credit Course (all levels),58
KMMJN,Numeracy and Numbers,Level 10,Special Education Non-credit Course (all levels),13
KMMKN,Numeracy and Numbers,Level 11,Special Education Non-credit Course (all levels),25
KMMLN,Numeracy and Numbers,Level 12,Special Education Non-credit Course (all levels),11
KMMNN,Numeracy and Numbers,Level 14,Special Education Non-credit Course (all levels),<10
KMMPN,Numeracy and Numbers,Level 16,Special Education Non-credit Course (all levels),<10
KNAAN,First Canadians,Level 1,Special Education Non-credit Course (all levels),81
KNABN,First Canadians,Level 2,Special Education Non-credit Course (all levels),15
KNACN,First Canadians,Level 3,Special Education Non-credit Course (all levels),23
KNADN,First Canadians,Level 4,Special Education Non-credit Course (all levels),27
KNAEN,First Canadians,Level 5,Special Education Non-credit Course (all levels),<10
KNAFN,First Canadians,Level 6,Special Education Non-credit Course (all levels),<10
KPFAN,Personal Health and Fitness,Level 1,Special Education Non-credit Course (all levels),1936
KPFBN,Personal Health and Fitness,Level 2,Special Education Non-credit Course (all levels),1098
KPFCN,Personal Health and Fitness,Level 3,Special Education Non-credit Course (all levels),991
KPFDN,Personal Health and Fitness,Level 4,Special Education Non-credit Course (all levels),1122
KPFEN,Personal Health and Fitness,Level 5,Special Education Non-credit Course (all levels),618
KPFFN,Personal Health and Fitness,Level 6,Special Education Non-credit Course (all levels),294
KPFGN,Personal Health and Fitness,Level 7,Special Education Non-credit Course (all levels),255
KPFHN,Personal Health and Fitness,Level 8,Special Education Non-credit Course (all levels),34
KPFIN,Personal Health and Fitness,Level 9,Special Education Non-credit Course (all levels),11
KPFJN,Personal Health and Fitness,Level 10,Special Education Non-credit Course (all levels),25
KPFKN,Personal Health and Fitness,Level 11,Special Education Non-credit Course (all levels),<10
KPFLN,Personal Health and Fitness,Level 12,Special Education Non-credit Course (all levels),23
KPFMN,Personal Health and Fitness,Level 13,Special Education Non-credit Course (all levels),14
KPFNN,Personal Health and Fitness,Level 14,Special Education Non-credit Course (all levels),22
KPHAN,Choice Making for Healthy Living,Level 1,Special Education Non-credit Course (all levels),932
KPHBN,Choice Making for Healthy Living,Level 2,Special Education Non-credit Course (all levels),576
KPHCN,Choice Making for Healthy Living,Level 3,Special Education Non-credit Course (all levels),303
KPHDN,Choice Making for Healthy Living,Level 4,Special Education Non-credit Course (all levels),269
KPHEN,Choice Making for Healthy Living,Level 5,Special Education Non-credit Course (all levels),209
KPHFN,Choice Making for Healthy Living,Level 6,Special Education Non-credit Course (all levels),94
KPHGN,Choice Making for Healthy Living,Level 7,Special Education Non-credit Course (all levels),75
KPHHN,Choice Making for Healthy Living,Level 8,Special Education Non-credit Course (all levels),<10
KPHIN,Choice Making for Healthy Living,Level 9,Special Education Non-credit Course (all levels),10
KPHJN,Choice Making for Healthy Living,Level 10,Special Education Non-credit Course (all levels),<10
KPHKN,Choice Making for Healthy Living,Level 11,Special Education Non-credit Course (all levels),<10
KPHLN,Choice Making for Healthy Living,Level 12,Special Education Non-credit Course (all levels),<10
KPPAN,Self Help and Self Care,Level 1,Special Education Non-credit Course (all levels),712
KPPBN,Self Help and Self Care,Level 2,Special Education Non-credit Course (all levels),421
KPPCN,Self Help and Self Care,Level 3,Special Education Non-credit Course (all levels),373
KPPDN,Self Help and Self Care,Level 4,Special Education Non-credit Course (all levels),353
KPPEN,Self Help and Self Care,Level 5,Special Education Non-credit Course (all levels),252
KPPFN,Self Help and Self Care,Level 6,Special Education Non-credit Course (all levels),128
KPPGN,Self Help and Self Care,Level 7,Special Education Non-credit Course (all levels),128
KPPHN,Self Help and Self Care,Level 8,Special Education Non-credit Course (all levels),<10
KPPIN,Self Help and Self Care,Level 9,Special Education Non-credit Course (all levels),<10
KSNAN,Exploring Our Environment,Level 1,Special Education Non-credit Course (all levels),957
KSNBN,Exploring Our Environment,Level 2,Special Education Non-credit Course (all levels),504
KSNCN,Exploring Our Environment,Level 3,Special Education Non-credit Course (all levels),299
KSNDN,Exploring Our Environment,Level 4,Special Education Non-credit Course (all levels),337
KSNEN,Exploring Our Environment,Level 5,Special Education Non-credit Course (all levels),130
KSNFN,Exploring Our Environment,Level 6,Special Education Non-credit Course (all levels),521
KSNGN,Exploring Our Environment,Level 7,Special Education Non-credit Course (all levels),54
KSNJN,Exploring Our Environment,Level 10,Special Education Non-credit Course (all levels),10
KSNPN,Exploring Our Environment,Level 16,Special Education Non-credit Course (all levels),<10
KTTAN,Computer Skills,Level 1,Special Education Non-credit Course (all levels),550
KTTBN,Computer Skills,Level 2,Special Education Non-credit Course (all levels),277
